sku,offer,image,title,old_price,retailer_sku_code,urls,desc,price,categories,out_of_stock
22408,True,https://a4ucontent.blob.core.windows.net/images/0005126_0.png,Softess Adult Diapers L 8S,,prod-data-id22408,https://a4ucontent.blob.core.windows.net/images/0005126_0.png,"Softess <br/>
Adult Diapers - Large <br/>
<span style= ""color: gray""> 8S </span>",$5.60,,False
119788,True,https://a4ucontent.blob.core.windows.net/images/0039061_0.png,Tena Value M 12S (New),,prod-data-id119788,https://a4ucontent.blob.core.windows.net/images/0039061_0.png,"Tena Pants <br/> 
<span style= ""color: gray""> (M) 12S </span>",$10.10,,False
28224,True,https://a4ucontent.blob.core.windows.net/images/0015061_0.png,Tena Pants M 14S,,prod-data-id28224,https://a4ucontent.blob.core.windows.net/images/0015061_0.png,"Tena Pants <br/> 
<small><span style= ""color: gray""> M 14S </span></small> ",$21.95,,False
875,True,https://a4ucontent.blob.core.windows.net/images/0039055_0.png,Tena Value L 10S (New),,prod-data-id875,https://a4ucontent.blob.core.windows.net/images/0039055_0.png,"Tena Pants <br/> 
<span style= ""color: gray""> (L) 10S </span>",$10.10,,False
21064,False,https://a4ucontent.blob.core.windows.net/images/0045575_0.png,Lifree Powerful Thin Pants M 10S,,prod-data-id21064,https://a4ucontent.blob.core.windows.net/images/0045575_0.png,"Lifree <br/>
Powerful Thin Pants <br/>
<span style=""color:gray""> (M) 10S </span>",$13.95,,False
28225,True,https://a4ucontent.blob.core.windows.net/images/0015062_0.png,Tena Pants L 14S,,prod-data-id28225,https://a4ucontent.blob.core.windows.net/images/0015062_0.png,"Tena Pants <br/> 
<span style= ""color: gray""> (L) 14S </span>",$25.95,,False
743,False,https://a4ucontent.blob.core.windows.net/images/0010223_0.png,Dr.P Special Diaper M 10S,,prod-data-id743,https://a4ucontent.blob.core.windows.net/images/0010223_0.png,"Dr.P <br/>
Special Diaper <br/>
<span style=""color:gray""> (M) 10S </span>",$5.80,,False
744,False,https://a4ucontent.blob.core.windows.net/images/0011261_0.png,Dr.P Special Diaper L 8S,,prod-data-id744,https://a4ucontent.blob.core.windows.net/images/0011261_0.png,"Dr.P <br/>
Special Diaper <br/>
<span style=""color:gray""> (L) 8S </span>",$5.80,,False
127067,True,https://a4ucontent.blob.core.windows.net/images/0051780_0.png,Yellow Lemon,,prod-data-id127067,https://a4ucontent.blob.core.windows.net/images/0051780_0.png,,$0.60,,False
117037,False,https://a4ucontent.blob.core.windows.net/images/0011499_0.png,CHN Kai Lan Stem (1-2s) (400-500G),,prod-data-id117037,https://a4ucontent.blob.core.windows.net/images/0011499_0.png,"Produce of China <br/>
Kai Lan Stem<br/>
中国芥兰茎 ",$1.50,,False
116768,False,https://a4ucontent.blob.core.windows.net/images/0011120_0.png,CHN Lotus Root (Wash) (700-800G),,prod-data-id116768,https://a4ucontent.blob.core.windows.net/images/0011120_0.png,"Produce of China <br/>
Lotus Root(Washed)<br/>
中国洗水莲藕 ",$3.85,,False
116774,False,https://a4ucontent.blob.core.windows.net/images/0011127_0.png,VNM Seedless Green Lime (4-5s) (300-350G,,prod-data-id116774,https://a4ucontent.blob.core.windows.net/images/0011127_0.png,"Produce of Vietnam <br/>
Seedless Green Lime<br/>
越南无籽青柠檬 ",$1.70,,False
32820,False,https://a4ucontent.blob.core.windows.net/images/0005899_0.png,THA Young Coconut,,prod-data-id32820,https://a4ucontent.blob.core.windows.net/images/0005899_0.png,"Produce of Thailand <br/>
Young Coconut<br/>
泰国椰子 ",$1.60,,False
116795,False,https://a4ucontent.blob.core.windows.net/images/0011146_0.png,CHN Huai Shan 1s (500-600G),,prod-data-id116795,https://a4ucontent.blob.core.windows.net/images/0011146_0.png,"Produce of China <br/>
Huai Shan (Wild Yam) <br/>
<span>中国淮山</span>",$2.90,,False
116793,False,https://a4ucontent.blob.core.windows.net/images/0011144_0.png,CHN Fen Ge/Arrow Root 1s (700-800G),,prod-data-id116793,https://a4ucontent.blob.core.windows.net/images/0011144_0.png,"Produce of China <br/>
Fen Ge/Arrow Root <br/>
<span>中国粉葛</span>
",$2.40,,False
116794,False,https://a4ucontent.blob.core.windows.net/images/0011145_0.png,CHN Niu Pang 1s (550-650G),,prod-data-id116794,https://a4ucontent.blob.core.windows.net/images/0011145_0.png,"Produce of China <br/>
Niu Pang Zi <br/>
<span>牛旁子</span>",$2.10,,False
32671,False,https://a4ucontent.blob.core.windows.net/images/0004657_0.png,CHN Garlic Sprouts 200G,,prod-data-id32671,https://a4ucontent.blob.core.windows.net/images/0004657_0.png,"Produce of China <br/>
Garlic Sprouts",$1.00,,False
33849,False,https://a4ucontent.blob.core.windows.net/images/0011219_0.png,THA Chive 150G,,prod-data-id33849,https://a4ucontent.blob.core.windows.net/images/0011219_0.png,"Produce of Thailand <br/>
Chive <br/>
泰国韭菜 ",$0.99,,False
116788,False,https://a4ucontent.blob.core.windows.net/images/0011139_0.png,THA Aloe Vera 1s (500-600G),,prod-data-id116788,https://a4ucontent.blob.core.windows.net/images/0011139_0.png,"Produce of Thailand <br/>
Aloe Vera",$1.35,,False
123336,False,https://a4ucontent.blob.core.windows.net/images/0039273_0.png,MYS Calamansi 200G,,prod-data-id123336,https://a4ucontent.blob.core.windows.net/images/0039273_0.png,Produce of Malaysia,$1.20,,False
116813,False,https://a4ucontent.blob.core.windows.net/images/0011164_0.png,THA Green Mango (2-3s) (400-500G),,prod-data-id116813,https://a4ucontent.blob.core.windows.net/images/0011164_0.png,"Produce of Thailand <br/>
Green Mango",$1.90,,False
116145,False,https://a4ucontent.blob.core.windows.net/images/0051414_0.png,IND Coconut,,prod-data-id116145,https://a4ucontent.blob.core.windows.net/images/0051414_0.png,"Produce of India <br/> 
Coconut <br/> 
印度老椰 ",$1.95,,False
120650,False,https://a4ucontent.blob.core.windows.net/images/0034276_0.png,CHN Yacon (1-2s) (300-400G),,prod-data-id120650,https://a4ucontent.blob.core.windows.net/images/0034276_0.png,"Produce of China <br/>
Yacon <br/>
雪莲果 ",$1.20,,False
116810,False,https://a4ucontent.blob.core.windows.net/images/0011161_0.png,MYS/VNM Turnip 1s (750-850G),,prod-data-id116810,https://a4ucontent.blob.core.windows.net/images/0011161_0.png,"Produce of Malaysia/Vietnam <br/>
Turnip <br/>
马来西亚/越南沙葛 <br/>
<span style= ""color: gray; font-style:italic""> Excellent source of Vitamin C; Good source of dietary fibre  </span>",$1.35,,False
33093,False,https://a4ucontent.blob.core.windows.net/images/0016286_0.png,CHN Water Chestnut 500G,,prod-data-id33093,https://a4ucontent.blob.core.windows.net/images/0016286_0.png,"Produce of China <br/>
Water Chestnut <br/>
中国洗水马蹄 （包装）",$1.60,,False
116797,False,https://a4ucontent.blob.core.windows.net/images/0011148_0.png,VNM/TWN Beet Root (2s) (350-450G),,prod-data-id116797,https://a4ucontent.blob.core.windows.net/images/0011148_0.png,"Produce of Vietnam/Taiwan <br/>
Beet Root <br/>
<span style= ""color: gray; font-style:italic""> Good source of dietary fibre &  folic acid </span>",$1.35,,False
33871,False,https://a4ucontent.blob.core.windows.net/images/0015181_0.png,THA Bamboo Shoot 300G,,prod-data-id33871,https://a4ucontent.blob.core.windows.net/images/0015181_0.png,"Produce of Thailand <br/>
Bamboo Shoot <br/>
<small><span style= ""color: gray""> 300g </span></small>",$2.20,,False
32682,False,https://a4ucontent.blob.core.windows.net/images/0016282_0.png,CHN Thumb Green Bamboo Shoot 500G,,prod-data-id32682,https://a4ucontent.blob.core.windows.net/images/0016282_0.png,Produce of China,$3.90,,False
32767,False,https://a4ucontent.blob.core.windows.net/images/0005885_0.png,CHN Natural Bamboo Shoot 250G,,prod-data-id32767,https://a4ucontent.blob.core.windows.net/images/0005885_0.png,Produce of China,$1.75,,False
